text,label
"Olympics-Rowing-U.S. Eight Beats Canada to Set World Best Time  ATHENS (Reuters) - The United States beat Canada in a world  best time to qualify for the final of the men's Olympic eights  race Sunday, as the two crews renewed their fierce rivalry in  front of a raucous crowd at Schinias.",0
"What is quantum computing? It's an algorithm that can solve a problem. It can be run in real time. It can be used to analyze data. There are some people who go, ""Well, this is what you do, we don't need to do that."" There's a real question there: why is the world such a boring place?""

Quantum computing: A world where you can do anything you want. It's a world where there is no privacy. It's a",1
AMD starts shipping 90-nanometer chips The chipmaker appears to have met its most recent deadline for production of the smaller-featured chips.,0
"Ancient Olympics Mixed Naked Sports, Pagan Partying Nude athletes, performance-enhancing lizard meat, and animal sacrifices are just a few of the things that separate the ancient Olympics from the modern games, says the author of &lt;i&gt;The Naked Olympics.&lt;/i&gt;",0
"Search Engine Forums Spotlight Links to this week's topics from search engine forums across the web: SEMPO Next Steps   Mike Grehan's Second SEMPO Article - Overture Bidding Cap - PPC Question for Merchants - SEO Firm Ordered to Refund Fees, Pay Fine - Tracking Past Links   Traffic? - Google Settles Overture Patent Dispute - Advice on Site Structure",0
"Tell a story about a robot who learns to feel emotions.

What did you think of the robot's movements?

I guess it was a lot like the human body. I think it's hard to describe, because it was hard to tell what it was doing.

It's an actual toy, so it was definitely not trying to be human.

It's not even trying to do anything.

But that's okay. It is not trying to do anything.",1
"Saturn's Moon Titan: Prebiotic Laboratory by Harry Bortman    In this second and final part of the interview, Lunine explains how Huygens may help scientists understand the origin of life on Earth, even if it doesn't detect life on Titan.    Astrobiology Magazine -- Titan is the only moon in our solar system with an atmosphere, and it is the organic chemistry that has been detected in that atmosphere that has sparked the imagination of planetary scientists like Lunine...",0
"Heat Turned Up on Streaming Video Patents By JUSTIN POPE     (AP) -- After a recent legal setback, a California company that claims its patents cover the streaming video technology used by adult Web sites is boosting efforts to collect money from a very different group of streaming video users: colleges and universities.    Newport Beach, Calif.-based Acacia Media Technologies Corp...",0
"U.K.'s NHS taps Gartner to help plan \$9B IT overhaul LONDON -- The U.K.'s National Health Service (NHS) has tapped IT researcher Gartner Inc. to provide market intelligence services as the health organization forges ahead with a mammoth, 5 billion (\$9.2 billion) project to upgrade its information technology infrastructure.",0
"Experts Downplay Texas Shark Attacks (AP) AP - Three shark attacks off the Texas coast in the past two months are unusual but don't mean there are more sharks than normal along the beach or that they are getting bolder, marine biologists and other experts say.",0
"Explain how photosynthesis works.

In a nutshell, the ""photosynthesis"" mechanism involves photosynthesis that occurs between photosynthesis and photosynthesis and photosynthesis that occurs between photosynthesis and photosynthesis, which is what we are looking for here.

The photosynthesis/photosynthesis interaction is the combination of the three processes.

The photosynthesis/photosynthesis interaction

The photosynthesis/photosynthesis interaction occurs when the two photosynthetic processes are combined.

The",1
"Describe the history of the Roman Empire.

The first part of the book can be read in German or English. The second part can be read in English or German.

In the beginning the empire was in decline as it faced a civil war. The Romans were also known as the ""Romeans,"" the descendants of the Roman Empire, and their leader, Julius Caesar. It was in this period of history that Julius Caesar became the first emperor to be elected by the people.",1
